Main Catagory,SubCatagory,Link
Video Games,Wii,https://www.amazon.com/s/other?rh=n%3A%2116225016011%2Cn%3A14218901&bbn=16225016011&pickerToList=lbr_brands_browse-bin&qid=1553626123&ref=sr_sa_p_89
Video Games,PC,https://www.amazon.com/s/other?rh=n%3A%2116225016011%2Cn%3A229575&bbn=16225016011&pickerToList=lbr_brands_browse-bin&qid=1553626120&ref=sr_sa_p_89
Video Games,Mac,https://www.amazon.com/s/other?rh=n%3A%2116225016011%2Cn%3A229647&bbn=16225016011&pickerToList=lbr_brands_browse-bin&qid=1553626117&ref=sr_sa_p_89
Video Games,Nintendo 3DS & 2DS,https://www.amazon.com/s/other?rh=n%3A%2116225016011%2Cn%3A2622269011&bbn=16225016011&pickerToList=lbr_brands_browse-bin&qid=1553626114&ref=sr_sa_p_89
Video Games,Nintendo DS,https://www.amazon.com/s/other?rh=n%3A%2116225016011%2Cn%3A11075831&bbn=16225016011&pickerToList=lbr_brands_browse-bin&qid=1553626110&ref=sr_sa_p_89
Video Games,PlayStation Vita,https://www.amazon.com/s/other?rh=n%3A%2116225016011%2Cn%3A3010556011&bbn=16225016011&pickerToList=lbr_brands_browse-bin&qid=1553626107&ref=sr_sa_p_89
Video Games,Sony PSP,https://www.amazon.com/s/other?rh=n%3A%2116225016011%2Cn%3A11075221&bbn=16225016011&pickerToList=lbr_brands_browse-bin&qid=1553626103&ref=sr_sa_p_89
Video Games,Retro Gaming & Microconsoles,https://www.amazon.com/s/other?rh=n%3A%2116225016011%2Cn%3A294940&bbn=16225016011&pickerToList=lbr_brands_browse-bin&qid=1553626100&ref=sr_sa_p_89
Video Games,Accessories,https://www.amazon.com/s/other?rh=n%3A%2116225016011%2Cn%3A471304&bbn=16225016011&pickerToList=lbr_brands_browse-bin&qid=1553626097&ref=sr_sa_p_89
Video Games,Digital Games,https://www.amazon.com/s/other?rh=n%3A%2116225016011%2Cn%3A979455011&bbn=16225016011&pickerToList=lbr_brands_browse-bin&qid=1553626094&ref=sr_sa_p_89
Video Games,Kids & Family,https://www.amazon.com/s/other?rh=n%3A%2116225016011%2Cn%3A8400376011&bbn=16225016011&pickerToList=lbr_brands_browse-bin&qid=1553626090&ref=sr_sa_p_89
